SUB_ID,X,Subject,GENOTYPE_GROUP,SEX_GROUP,AGE_GROUP,AGE_MONTHS,DIET_GROUP,HN_GROUP,Weight,Animal_ID,DWI_ID,Winding_Number,Island_Entry,Distance_Total,Norm_SW_Distance,Winding_Number_Norm,Island_Entry_Norm,Distance_Total_Norm,Norm_SW_Distance_Norm,Weight_Norm
138,138,138,1,2,1,15.07,2,2,28.2,210614_5,N60062,14.330591883821,2,12.547,0.22547222443612,1.26604646877163,1.43073011396477,1.59238820534187,1.26331520975578,1.68436797778609
139,139,139,1,2,1,14.33,2,2,37,211122_1,N60064,27.264161822816,4,8.654,0.706147446267622,1.94241643652964,1.5947159666196,1.22884521942368,1.81999490596205,1.68436797778609
140,140,140,1,2,1,15.07,2,2,36.6,210614_1,N60068,23.676787700752,1,10.241,0.314715359828142,1.75481223051992,1.34873718763736,1.37704524990202,1.36666948982296,1.68436797778609
141,141,141,1,1,1,13.77,2,2,39,220110_2,N60070,17.2926395562671,1,10.964,0.270339292229113,1.42094879644758,1.34873718763736,1.444561709912,1.315276668417,1.68436797778609
142,142,142,1,1,1,13.77,2,2,37,220110_3,N60072,18.3520464002148,2,11.212,0.474313235818766,1.4763512086403,1.43073011396477,1.4677208829168,1.5515030179235,1.68436797778609
143,143,143,1,1,1,13.77,2,2,47,220110_1,N60088,16.4909424987612,2,11.5,0.396,1.37902349542902,1.43073011396477,1.49461540640626,1.46080687561267,1.68436797778609
144,144,144,1,1,1,13.77,2,2,48,220110_4,N60092,18.8129603568363,2,10.406,0.286757639823179,1.50045502216199,1.43073011396477,1.39245357065118,1.33429108883178,1.68436797778609
145,145,145,1,2,1,14.2,2,2,34,211122_4,N60093,22.6977170054046,0,10.754,0.533289938627488,1.70361105267278,1.26674426130995,1.42495111986761,1.61980513026811,1.68436797778609
146,146,146,1,1,1,15.43,2,2,38.1,210614_6,N60095,18.5490073296531,0,12.152,0.258393680052666,1.48665141640367,1.26674426130995,1.55550161930599,1.3014422133518,1.68436797778609
147,147,147,1,1,1,15.03,2,2,42,210809_6,N60097,19.4750974178976,1,10.811,0.455092035889372,1.53508193683086,1.34873718763736,1.43027399430823,1.52924255753063,1.68436797778609
148,148,148,1,2,1,14.33,2,2,38,211122_2,N60101,18.8513782188293,1,12.42,0.450563607085346,1.50246411077404,1.34873718763736,1.58052846755312,1.52399809254383,1.68436797778609
149,149,149,1,1,1,15.03,2,2,34.7,210809_5,N60103,16.8461901999001,4,11.801,0.364291161765952,1.39760141918084,1.5947159666196,1.52272391880322,1.42408422873288,1.68436797778609
150,150,150,2,1,1,14.5,1,2,35.9,210222_4,N60127,21.4547684283693,4,10.52,0.417015209125475,1.63861019885286,1.5947159666196,1.40309931953242,1.4851450143399,1.68436797778609
151,151,151,2,2,1,14.5,1,2,28.9,210222_2,N60129,18.1374639363912,3,12.241,0.377256760068622,1.46512947057243,1.51272304029218,1.56381277413433,1.43909995036038,1.68436797778609
152,152,152,2,1,1,14.5,1,2,32.3,210222_3,N60131,21.5900917075882,3,9.735,0.592604006163328,1.64568702315071,1.51272304029218,1.32979306627124,1.6884979515265,1.68436797778609
153,153,153,2,2,1,15.87,1,2,26.7,210614_17,N60133,14.389656351374,2,13.46,0.298736998514116,1.26913528587339,1.43073011396477,1.67764758015392,1.34816462641795,1.68436797778609
154,154,154,2,2,1,15.87,1,2,26.8,210614_18,N60137,18.679825330312,1,11.957,0.336790164757046,1.49349263404932,1.34873718763736,1.53729178569334,1.3922347678808,1.68436797778609
155,155,155,2,1,1,14.5,1,2,33.8,210222_6,N60139,15.2813031089376,4,13.431,0.318367954731591,1.31576456854704,1.5947159666196,1.67493945105255,1.37089963385549,1.68436797778609
156,156,156,3,2,1,14.07,1,2,27.4,211004_11,N60157,20.4729467023649,2,11.141,0.27071178529755,1.58726515395853,1.43073011396477,1.46109063580656,1.31570806017334,1.68436797778609
157,157,157,3,2,1,14.1,1,2,21.3,211004_12,N60159,21.5378490661593,2,10.284,0.285686503306107,1.64295495815508,1.43073011396477,1.38106075167301,1.3330505839673,1.68436797778609
158,158,158,1,1,1,14.63,1,2,29,211122_9,N60161,19.3757337356069,3,12.733,0.639912039582188,1.5298856444766,1.51272304029218,1.60975758509548,1.74328634184831,1.68436797778609
159,159,159,1,2,1,14.33,1,2,23.5,210906_1,N60163,24.8822708230689,5,10.092,0.643579072532699,1.81785380252364,1.67670889294701,1.36313106934671,1.74753320687516,1.68436797778609
160,160,160,1,1,1,14.63,1,2,31,211122_10,N60167,18.7009689950305,0,11.687,0.338666894840421,1.49459835659084,1.26674426130995,1.51207816992198,1.39440824694779,1.68436797778609
161,161,161,1,2,1,14.33,1,2,22,210906_2,N60169,19.5157898016027,3,10.271,0.664589621263752,1.5372099731259,1.51272304029218,1.3798467627655,1.77186594830536,1.68436797778609
162,162,162,1,2,1,14.3,1,2,26.1,210906_4,N60188,20.2973350586413,2,11.562,0.271665801764401,1.57808142182861,1.43073011396477,1.50040519965746,1.31681292593888,1.68436797778609
163,163,163,1,2,1,14.33,1,2,27,210906_3,N60190,19.7032810726237,1,10.734,0.514719582634619,1.54701495856561,1.34873718763736,1.42308344462528,1.59829842540164,1.68436797778609
164,164,164,1,1,1,13.63,1,2,34.5,210906_6,N60192,20.2002326630961,2,11.049,0.383021087881256,1.57300338502563,1.43073011396477,1.45249932969187,1.44577573498549,1.68436797778609
165,165,165,1,1,1,14.63,1,2,31,211122_11,N60194,20.8444076330228,2,11.314,0.473307406752696,1.60669095973973,1.43073011396477,1.47724602665265,1.55033814693888,1.68436797778609
166,166,166,2,2,1,15.87,1,2,34.3,210614_21,N60198,15.5925256048596,2,12.762,0.301833568406206,1.33204016380228,1.43073011396477,1.61246571419684,1.35175082663905,1.68436797778609
167,167,167,1,2,1,14.33,1,2,26.1,210906_5,N60200,16.8918101300145,1,12.848,0.286425902864259,1.39998714491674,1.34873718763736,1.62049671773883,1.33390689755018,1.68436797778609
168,168,168,2,2,1,15.87,1,2,28.7,210614_19,N60219,15.187315690296,2,12.072,0.200629555997349,1.31084943161145,1.43073011396477,1.5480309183367,1.23454441298628,1.68436797778609
169,169,169,2,1,1,15.47,1,2,33.3,210614_28,N60221,16.8307020864763,4,11.611,0.221858582378779,1.39679145759819,1.5947159666196,1.50498100400115,1.25913017780216,1.68436797778609
170,170,170,2,2,1,15.83,2,2,53.8,210614_14,N60223,18.8346555413517,5,10.907,0.502796369304117,1.501589586812,1.67670889294701,1.43923883547138,1.58448991089296,1.68436797778609
171,171,171,2,2,2,19.97,1,1,27.5,210503_7,N60225,17.7183523263921,1,11.253,0.304541011285879,1.44321173962273,1.34873718763736,1.47154961716357,1.35488637099686,1.35020101804881
172,172,172,3,2,2,16.4,2,1,50.7,210112_27,N60229,17.28950998,2,11.015,0.349251021334544,1.42078513309641,1.43073011396477,1.44932428177992,1.40666593790783,1.35020101804881
173,173,173,1,2,1,15.7,1,1,28.3,210222_17,N60231,16.937698909725,1,13.576,0.326605774896877,1.40238693032786,1.34873718763736,1.68848009655939,1.38044002000134,1.35020101804881
